code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
000025.XSHE,2017/4/28,284.16,334.1298,15.98,45.7,-621.77,0.5008,0.4541,0.3068,4.4759,24.9537,92.187,4.7808,4.4759,4.0567,11.4607,0.1419,162.6129,-63.1093,90.6758,105.2154,7.6121,97.4287,1.7899,-2.8072,1.7899,-2.8072,-40.0607,-3.5906,-41.2703,211.0018,-27.0551,359.5048,1,1,1
000026.XSHE,2017/3/10,48.67,49.3895,2.53,2.05,18.96,0.0987,-0.4281,0.0586,0.3085,40.3669,101.501,-1.4422,0.3085,26.3558,7.8918,2.3072,-208.3896,8.158,-433.7367,117.334,21.6812,-1444.448,9.4213,0.6787,9.4213,0.6787,-3.4945,-117.3233,-84.3548,-95.1009,-84.4808,-95.1209,-1,-1,-1
000026.XSHE,2017/4/19,56.58,56.5763,2.64,2.09,-29.79,1.8913,1.8937,1.1451,5.5337,40.1592,92.6263,7.3737,5.5337,24.0672,5.8689,1.7426,100.1379,,100.1293,110.3734,15.045,204.0371,11.4659,7.5386,11.4659,7.5386,77.8336,649.8066,66.8183,1828.6648,66.3001,1835.5415,-1,-1,-1
000026.XSHE,2017/8/15,42.3986,49.3209,2.2959,1.7733,-36.6659,1.7094,1.6752,1.0703,5.2906,42.1653,93.4577,6.5664,5.2906,25.2584,6.4178,1.5288,97.6702,,97.9972,116.4306,19.6537,300.4096,4.8184,-4.2183,4.8184,-4.2183,24.1374,-14.7038,24.4717,-8.4255,24.4369,-8.6702,-1,-1,-1
000027.XSHE,2017/4/8,17.64,15.2124,1.27,2.45,28.29,0.0425,-0.028,-0.0517,-1.1642,19.3414,97.5122,1.855,-1.1642,1.2869,5.7833,5.9044,62.3202,-15.8519,-65.8901,145.5659,26.7848,1076.6295,9.7638,-25.0953,9.7638,-25.0953,-77.6316,-93.2579,-115.1616,-106.0447,-95.4696,-98.1193,-1,-1,-1
000027.XSHE,2017/4/28,20.06,20.0555,1.32,2.47,29.4,0.5184,0.4847,0.1694,4.2047,21.8352,97.2632,5.3801,4.2047,1.012,4.7542,12.2672,40.3977,39.0187,93.5055,105.2471,23.6532,864.2776,26.9308,-4.8252,26.9308,-4.8252,-44.2234,176.0328,-50.2929,443.7401,-45.0002,1128.8853,-1,-1,-1
000028.XSHE,2017/4/19,26.38,31.8661,3.96,0.87,22.15,6.3894,3.5237,2.9797,2.7258,15.4544,96.9619,3.3689,2.7258,9.1857,2.6172,0.2547,85.8413,9.3486,55.1487,117.793,4.7536,156.47,9.3031,170.4033,9.3031,170.4033,29.22,194.6146,23.3765,188.8927,31.1853,156.6766,-1,-1,-1
000028.XSHE,2017/4/29,27.16,27.1611,5.31,0.78,29.74,3.1744,3.159,1.3775,2.8859,10.4129,97.1295,3.5649,2.8859,5.3669,1.6672,0.2147,80.3288,19.433,99.5176,101.0352,-4.9133,-171.1664,-0.8701,-48.4417,-0.8701,-48.4417,4.9173,-45.442,7.2706,-45.4121,7.4637,-41.231,-1,-1,-1
000029.XSHE,2017/3/30,37.17,37.5261,4.4,4.91,74.46,2.867,2.8589,1.8952,12.2839,33.8088,82.3896,17.5833,12.2839,1.9494,5.4739,-0.1191,99.625,-0.153,99.7179,102.2662,-4.0178,-22.8148,9.4385,-6.0339,9.4385,-6.0339,14.7552,-21.7201,11.3056,-26.9279,11.2526,-26.854,-1,-1,-1
000029.XSHE,2017/4/26,36.27,36.269,4.27,4.8,117.7,1.3009,1.2936,0.9077,12.7429,25.6627,82.457,17.7819,12.7429,1.2867,4.2697,-0.873,98.1278,1.3365,99.4356,128.4273,-11.131,-63.45,-18.2021,-55.2245,-18.2021,-55.2245,16.8951,-54.7189,11.1948,-53.5518,11.186,-53.6477,-1,-1,-1
